CustomerID,Lookalikes
C0001,"[{'SimilarCustomerID': 'C0184', 'SimilarityScore': 0.9963609950829083}, {'SimilarCustomerID': 'C0118', 'SimilarityScore': 0.9858003059186938}, {'SimilarCustomerID': 'C0192', 'SimilarityScore': 0.9000082622349705}]"
C0002,"[{'SimilarCustomerID': 'C0106', 'SimilarityScore': 0.9161141010544283}, {'SimilarCustomerID': 'C0062', 'SimilarityScore': 0.8880708626911769}, {'SimilarCustomerID': 'C0029', 'SimilarityScore': 0.8862940847122569}]"
C0003,"[{'SimilarCustomerID': 'C0076', 'SimilarityScore': 0.9603247103015294}, {'SimilarCustomerID': 'C0052', 'SimilarityScore': 0.9384356921797302}, {'SimilarCustomerID': 'C0031', 'SimilarityScore': 0.9254369089786748}]"
C0004,"[{'SimilarCustomerID': 'C0165', 'SimilarityScore': 0.9722196459009288}, {'SimilarCustomerID': 'C0082', 'SimilarityScore': 0.9393556470762153}, {'SimilarCustomerID': 'C0153', 'SimilarityScore': 0.9332125487393121}]"
C0005,"[{'SimilarCustomerID': 'C0007', 'SimilarityScore': 0.9884639983035518}, {'SimilarCustomerID': 'C0198', 'SimilarityScore': 0.9020663798651973}, {'SimilarCustomerID': 'C0112', 'SimilarityScore': 0.8893485176170918}]"
C0006,"[{'SimilarCustomerID': 'C0126', 'SimilarityScore': 0.9883409441928732}, {'SimilarCustomerID': 'C0187', 'SimilarityScore': 0.987566574409366}, {'SimilarCustomerID': 'C0137', 'SimilarityScore': 0.9432395651643158}]"
C0007,"[{'SimilarCustomerID': 'C0005', 'SimilarityScore': 0.9884639983035518}, {'SimilarCustomerID': 'C0192', 'SimilarityScore': 0.8814049346304951}, {'SimilarCustomerID': 'C0112', 'SimilarityScore': 0.8798236785871475}]"
C0008,"[{'SimilarCustomerID': 'C0136', 'SimilarityScore': 0.8877768769915253}, {'SimilarCustomerID': 'C0018', 'SimilarityScore': 0.8678312582864609}, {'SimilarCustomerID': 'C0059', 'SimilarityScore': 0.8664283038653386}]"
C0009,"[{'SimilarCustomerID': 'C0061', 'SimilarityScore': 0.9674917043899608}, {'SimilarCustomerID': 'C0132', 'SimilarityScore': 0.8827432656484538}, {'SimilarCustomerID': 'C0121', 'SimilarityScore': 0.8747218928749158}]"
C0010,"[{'SimilarCustomerID': 'C0062', 'SimilarityScore': 0.9585681499711904}, {'SimilarCustomerID': 'C0103', 'SimilarityScore': 0.9115841206514381}, {'SimilarCustomerID': 'C0002', 'SimilarityScore': 0.8694872552108613}]"
C0011,"[{'SimilarCustomerID': 'C0147', 'SimilarityScore': 0.9613157173693632}, {'SimilarCustomerID': 'C0174', 'SimilarityScore': 0.9561419031941105}, {'SimilarCustomerID': 'C0171', 'SimilarityScore': 0.8975358211264648}]"
C0012,"[{'SimilarCustomerID': 'C0195', 'SimilarityScore': 0.9519486936518037}, {'SimilarCustomerID': 'C0138', 'SimilarityScore': 0.8818467439636508}, {'SimilarCustomerID': 'C0136', 'SimilarityScore': 0.8588304467241898}]"
C0013,"[{'SimilarCustomerID': 'C0087', 'SimilarityScore': 0.9785140215435969}, {'SimilarCustomerID': 'C0039', 'SimilarityScore': 0.9210427677710181}, {'SimilarCustomerID': 'C0028', 'SimilarityScore': 0.8731098299890978}]"
C0014,"[{'SimilarCustomerID': 'C0080', 'SimilarityScore': 0.939779906001383}, {'SimilarCustomerID': 'C0110', 'SimilarityScore': 0.9397111247636614}, {'SimilarCustomerID': 'C0063', 'SimilarityScore': 0.9296401680795785}]"
C0015,"[{'SimilarCustomerID': 'C0094', 'SimilarityScore': 0.935578132788671}, {'SimilarCustomerID': 'C0123', 'SimilarityScore': 0.8843310250331958}, {'SimilarCustomerID': 'C0043', 'SimilarityScore': 0.8775975603088637}]"
C0016,"[{'SimilarCustomerID': 'C0154', 'SimilarityScore': 0.995022378853887}, {'SimilarCustomerID': 'C0183', 'SimilarityScore': 0.9845341232493635}, {'SimilarCustomerID': 'C0117', 'SimilarityScore': 0.9834433822521672}]"
C0017,"[{'SimilarCustomerID': 'C0041', 'SimilarityScore': 0.965653886295483}, {'SimilarCustomerID': 'C0075', 'SimilarityScore': 0.9207033868561896}, {'SimilarCustomerID': 'C0141', 'SimilarityScore': 0.7922444441455476}]"
C0018,"[{'SimilarCustomerID': 'C0046', 'SimilarityScore': 0.9808205980308334}, {'SimilarCustomerID': 'C0024', 'SimilarityScore': 0.8749941611177774}, {'SimilarCustomerID': 'C0008', 'SimilarityScore': 0.8678312582864609}]"
C0019,"[{'SimilarCustomerID': 'C0132', 'SimilarityScore': 0.9512407094427267}, {'SimilarCustomerID': 'C0121', 'SimilarityScore': 0.9332339631404029}, {'SimilarCustomerID': 'C0197', 'SimilarityScore': 0.8019108828819266}]"
C0020,"[{'SimilarCustomerID': 'C0157', 'SimilarityScore': 0.9076563826976084}, {'SimilarCustomerID': 'C0036', 'SimilarityScore': 0.8890390624023689}, {'SimilarCustomerID': 'C0058', 'SimilarityScore': 0.8798473034694029}]"
